1000,1000,0.0228
1000,1000,0.0230
100,100,0.0022
100,100,0.0015
100,100,0.0009
1100,1100,0.0245
1100,1100,0.0233
1100,1100,0.0236
1200,1200,0.0291
1200,1200,0.0373
1200,1200,0.0271
1300,1300,0.0288
1300,1300,0.0289
1300,1300,0.0290
1400,1400,3.9661
1400,1400,0.0363
1400,1400,0.0310
1500,1500,0.0410
1500,1500,4.5976
200,200,0.0625
200,200,0.0036
200,200,0.0026
300,300,0.0065
300,300,0.0062
300,300,0.0051
400,400,0.0111
400,400,0.0078
400,400,0.0098
500,500,0.0128
500,500,0.0098
500,500,0.0107
50,50,0.0008
50,50,0.0012
50,50,0.0006
600,600,0.6869
600,600,0.0105
600,600,0.6797
700,700,0.0161
700,700,0.0149
700,700,0.0159
800,800,0.0176
800,800,1.2704
900,900,0.0198
900,900,1.6339
